0				tavernkeeper_bedroom_loop	TavernkeeperRoom		1		
1	Mon	6:00	174			tavernkeeper_tavern_to_mountain			
2	Mon	8:54		tavernkeeper_mountain_loop					
3	Mon	18:50	10			mountaintop_to_cave			1
4	Mon	19:00	15		CliffCave	mountain_cave_enter			
5	Mon	19:15		mountain_cave_loop	CliffCave				
6	Mon	20:50	17		CliffCave	mountain_cave_exit			1
7	Mon	21:07	184			cave_to_tavern			1
8	Tue,Wed,Thu,Fri,Sat	6:30	48			tavern_to_square			
9	Tue,Wed,Thu,Fri,Sat	7:18		square_loop					
10	Tue,Wed,Thu,Fri,Sat	11:04	48			square_to_tavern			1
11	Tue,Wed,Thu,Fri,Sat	11:52		tavernkeeper_bar_loop	Tavern				
12	Tue,Wed,Thu,Fri,Sat	23:59		tavernkeeper_bedroom_loop	TavernkeeperRoom				
13	Sun	11:00	40			tavernkeeper_tavern_to_lake2			
14	Sun	11:40		tavernkeeper_lake2_loop					
15	Sun	20:00	42			tavernkeeper_lake2_to_tavern			1
16	Mon	4:00	300	married_home_loop	Home			1	
17	Mon	21:07	300	married_home_loop	Home			1	
18	Tue,Wed,Thu,Fri,Sat	4:00	300	married_home_loop	Home			1	
19	Tue,Wed,Thu,Fri,Sat	23:59	130	married_home_loop	Home			1	
20	Sun	4:00	720	married_home_loop	Home			1	
21	Sun	20:00	360	married_home_loop	Home			1	
0				artist_bedroom_loop	ArtistRoom		1		
1	Mon	7:10	112			artist_shack_to_dock			
2	Mon	9:02		artist_dock_painting_loop					
3	Mon	18:44	16			artist_dock_to_dock_lookout			
4	Mon	19:00		dock_lookout_loop					
5	Mon	21:00	132			dock_lookout_to_shack			1
6	Tue	7:00	190			artist_shack_to_mountain			
7	Tue	10:10		artist_mountain_loop					
8	Tue	20:00	190			artist_mountain_to_shack			1
9	Wed,Thu,Fri,Sat,Sun	7:10	25			shack_to_bridge			
10	Wed,Thu,Fri,Sat,Sun	7:35		bridge_loop					
11	Wed,Thu,Fri,Sat,Sun	11:50	15			bridge_to_tavern			1
12	Wed,Thu,Fri,Sat,Sun	12:05	25		Tavern	artist_tavern_enter			
13	Wed,Thu,Fri,Sat,Sun	12:30		artist_tavern_loop	Tavern				
14	Wed,Thu,Fri,Sat,Sun	23:38	22		Tavern	artist_tavern_exit			1
15	Wed,Thu,Fri,Sat,Sun	24:00	85			tavern_to_shack_longway			1
16	Mon	4:00	302	married_home_loop	Home			1	
17	Mon	21:00	300	married_home_loop	Home			1	
18	Tue	4:00	720	married_home_loop	Home			1	
19	Tue	20:00	360	married_home_loop	Home			1	
20	Wed,Thu,Fri,Sat,Sun	4:00	360	married_home_loop	Home			1	
21	Wed,Thu,Fri,Sat,Sun	24:00	120	married_home_loop	Home			1	
0				fisherman_bedroom_loop	FishermanRoom		1		
1				married_home_loop	Home		1	1	
2	Mon,Tue,Wed,Thu,Fri,Sat	5:57	33			lighthouse_to_fishingshop			1
3	Mon,Tue,Wed,Thu,Fri,Sat	6:30		fisherman_shop_loop	FishingShop				
4	Mon,Tue,Wed,Thu,Sat	17:00	13			fishingshop_to_dock			
5	Mon,Tue,Wed,Thu,Sat	17:13		fisherman_dock_fishing_loop					
6	Mon,Tue,Wed,Thu,Sat	22:00	40			dock_to_lighthouse			1
7	Fri	17:00	100			fishingshop_to_tavern			1
8	Fri	18:40	14		Tavern	fisherman_tavern_enter			
9	Fri	18:54		fisherman_tavern_loop	Tavern				
10	Sun	8:00	112			lighthouse_to_lake			
11	Sun	9:52		fisherman_lake_fishing_loop					
12	Sun	19:31	19			fisherman_lake_to_tavern			1
13	Sun	19:50	14		Tavern	fisherman_tavern_enter			
14	Sun	20:04		fisherman_tavern_loop	Tavern				
15	Fri,Sun	21:47	13		Tavern	fisherman_tavern_exit			1
16	Fri,Sun	22:00	130			tavern_to_lighthouse			1
17	Mon,Tue,Wed,Thu,Fri,Sat	4:00	150	married_home_loop	Home			1	
18	Sun	4:00	720	married_home_loop	Home			1	
19	Mon,Tue,Wed,Thu,Sat	20:00		married_home_loop	Home			1	
20	Fri,Sun	22:00		married_home_loop	Home			1	
0				blacksmith_bedroom_loop	BlacksmithRoom		1		
1	Mon,Wed,Thu,Fri,Sat	6:30	27			house_to_smithy			1
2	Mon,Wed,Thu,Fri,Sat	6:57		blacksmith_shop_loop	Smithy				
3	Mon	17:00	37			blacksmith_smithy_to_lake			
4	Mon	17:37		blacksmith_lake_loop					
5	Mon	22:00	65			lake_to_house			1
6	Wed,Thu,Fri,Sat	17:00	28			smithy_to_tavern			1
7	Wed,Thu,Fri,Sat	17:28	13		Tavern	blacksmith_tavern_enter			
8	Wed,Thu,Fri,Sat	17:41		blacksmith_tavern_loop	Tavern				
9	Tue	7:00	19			house_to_square			
10	Tue	7:19		square_loop					
11	Tue	9:00	200			square_to_hotsprings			
12	Tue	12:20		blacksmith_hotsprings_loop					
13	Tue	16:50	205			hotsprings_to_bridge			
14	Tue	20:15		blacksmith_bridge_loop					
15	Tue	22:00	38			bridge_to_house			1
16	Sun	7:00	19			house_to_square			
17	Sun	7:19		square_loop					
18	Sun	11:10	63			square_to_tavern			1
19	Sun	12:13	13		Tavern	blacksmith_tavern_enter			
20	Sun	12:26		blacksmith_tavern_loop	Tavern				
